name;Gender;Eye color;Race;Hair color;Height ;Publisher;Skin color;Alignment;Weight;Birth Date;Powers
Rogue;Female;green;-;Brown / White;173;Marvel Comics;-;good;54;08/03/1996;Agility,Accelerated Healing,Cold Resistance,Durability,Stealth,Marksmanship,Weapons Master,Longevity,Intelligence,Super Strength,Size Changing,Stamina,Super Speed
Ronin;Male;blue;Human;Blond;191;Marvel Comics;-;good;104;30/06/2004;Cold Resistance,Durability,Stealth,Weapons Master,Longevity,Super Strength,Stamina
Rorschach;Male;blue;Human;Red;168;DC Comics;-;good;63;02/05/2001;Accelerated Healing,Cold Resistance,Durability,Stealth,Weapons Master,Longevity,Super Strength,Stamina
Sabretooth;Male;amber;Mutant;Blond;198;Marvel Comics;-;bad;171;30/12/1996;Agility,Accelerated Healing,Cold Resistance,Durability,Stealth,Marksmanship,Weapons Master,Longevity,Intelligence,Super Strength,Energy Blasts,Stamina,Super Speed
Sage;Female;blue;-;Black;170;Marvel Comics;-;good;61;22/05/2000;Agility,Stealth,Marksmanship,Weapons Master,Stamina,Super Speed,Weapon-based Powers
Sandman;Male;brown;Human;Brown;185;Marvel Comics;-;neutral;203;24/10/2004;Flight,Cryokinesis
Sasquatch;Male;red;-;Orange;305;Marvel Comics;-;good;900;09/02/2007;Agility,Accelerated Healing,Cold Resistance,Durability,Flight,Longevity,Intelligence,Super Strength,Telepathy,Energy Blasts,Stamina,Super Speed
Sauron;Male;-;Maiar;-;279;J. R. R. Tolkien;-;bad;Indefinite;07/12/1998;Weapon-based Powers
Savage Dragon;Male;-;-;-;Indefinite;Image Comics;-;good;Indefinite;15/07/1997;Weapons Master
Scarecrow;Male;blue;Human;Brown;183;DC Comics;-;bad;63;05/02/2007;Cold Resistance,Durability,Longevity,Super Strength,Stamina
Scarlet Spider;Male;blue;Human;Blond;178;Marvel Comics;-;good;74;07/10/2006;Agility,Accelerated Healing,Durability,Flight,Longevity,Super Strength,Stamina,Super Speed,Weapon-based Powers
Scarlet Spider II;Male;brown;Clone;Brown;193;Marvel Comics;-;good;113;04/05/2006;Durability,Super Strength,Stamina,Super Speed
Scarlet Witch;Female;blue;Mutant;Brown;170;Marvel Comics;-;bad;59;01/05/2007;Durability,Super Strength,Stamina,Super Speed
Scorpia;Female;green;-;Red;Indefinite;Marvel Comics;-;bad;Indefinite;18/08/2001;Energy Absorption,Flight,Energy Blasts
Scorpion;Male;brown;Human;Brown;211;Marvel Comics;-;bad;310;26/10/2011;Accelerated Healing,Durability,Longevity,Super Strength,Stamina,Super Speed
Sebastian Shaw;Male;-;Mutant;-;Indefinite;Marvel Comics;-;bad;Indefinite;28/11/2009;Agility,Super Strength,Stamina,Super Speed
Sentry;Male;blue;Mutant;Blond;188;Marvel Comics;-;neutral;87;11/06/2003;Agility,Accelerated Healing,Cold Resistance,Durability,Underwater breathing,Animal Attributes,Super Strength,Stamina,Super Speed,Animal Oriented Powers
Shadow King;-;red;-;-;185;Marvel Comics;-;good;149;03/03/2001;Agility,Super Strength,Stamina,Super Speed
Shadow Lass;Female;black;Talokite;Black;173;DC Comics;blue;good;54;10/07/2005;Intelligence
Shadowcat;Female;hazel;Mutant;Brown;168;Marvel Comics;-;good;50;24/02/2011;Flight,Super Strength,Super Speed
Shang-Chi;Male;brown;Human;Black;178;Marvel Comics;-;good;79;30/03/2013;Agility,Accelerated Healing,Durability,Animal Attributes,Super Strength,Stamina,Animal Oriented Powers
Shatterstar;Male;brown;-;Red;191;Marvel Comics;-;good;88;09/09/2005;Agility,Accelerated Healing,Durability,Stealth,Danger Sense,Super Strength,Size Changing,Stamina,Super Speed,Weapon-based Powers
She-Hulk;Female;green;Human;Green;201;Marvel Comics;-;good;315;09/03/2001;Cold Resistance,Cryokinesis
She-Thing;Female;blue;Human / Radiation;No Hair;183;Marvel Comics;-;good;153;08/09/2011;Flight
Shocker;Male;brown;Human;Brown;175;Marvel Comics;-;bad;79;08/05/1999;Accelerated Healing,Durability,Flight,Super Strength,Stamina
Shriek;Female;yellow / blue;-;Black;173;Marvel Comics;-;good;52;02/03/2006;Flight,Duplication
Shrinking Violet;Female;-;-;-;Indefinite;DC Comics;-;good;Indefinite;05/06/2012;Agility,Cold Resistance,Durability,Underwater breathing,Super Strength,Stamina,Super Speed
Sif;Female;blue;Asgardian;Black;188;Marvel Comics;-;good;191;18/05/1996;Durability,Energy Absorption,Flight,Longevity,Intelligence,Super Strength,Energy Blasts,Stamina
Silk;Female;brown;Human;Black;Indefinite;Marvel Comics;-;good;Indefinite;17/06/1997;Durability,Flight,Super Strength,Stamina,Super Speed
Silk Spectre;Female;-;-;-;Indefinite;DC Comics;-;good;Indefinite;09/07/2001;Agility,Durability,Stealth,Energy Absorption,Flight,Super Strength,Energy Armor,Energy Blasts,Stamina,Super Speed
Silk Spectre II;Female;-;-;-;Indefinite;DC Comics;-;good;Indefinite;13/09/2007;Durability,Longevity,Super Strength,Stamina
Silver Surfer;Male;white;Alien;No Hair;193;Marvel Comics;silver;good;101;13/07/1996;Agility,Super Strength,Weapon-based Powers
Silverclaw;Female;brown;-;Black;157;Marvel Comics;-;good;50;19/01/2009;Durability,Super Strength,Stamina
Simon Baz;Male;bown;Human;Black;Indefinite;DC Comics;-;good;Indefinite;05/08/2006;Agility,Accelerated Healing,Flight,Marksmanship,Longevity,Intelligence,Super Strength,Energy Blasts,Stamina,Super Speed
Sinestro;Male;black;Korugaran;Black;201;DC Comics;red;neutral;92;04/01/1996;Accelerated Healing,Durability,Danger Sense,Super Strength,Stamina,Super Speed,Weapon-based Powers
Siren;Female;blue;Atlantean;Purple;175;DC Comics;-;bad;72;28/08/1999;Agility,Durability,Super Strength,Super Speed,Animal Oriented Powers
Siren II;Female;black;-;-;Indefinite;DC Comics;-;bad;Indefinite;25/02/2013;Agility,Accelerated Healing,Durability,Danger Sense,Super Strength,Stamina,Super Speed,Animal Oriented Powers
Siryn;Female;blue;-;Strawberry Blond;168;Marvel Comics;-;bad;52;30/08/2013;Agility,Accelerated Healing,Dimensional Awareness,Durability,Stealth,Danger Sense,Marksmanship,Weapons Master,Longevity,Super Strength,Stamina,Super Speed,Weapon-based Powers
Skaar;Male;green;-;Black;198;Marvel Comics;-;good;180;14/03/2010;Dimensional Awareness,Energy Blasts
Snake-Eyes;Male;-;Animal;-;Indefinite;Marvel Comics;-;bad;Indefinite;03/03/1998;Durability,Flight
Snowbird;Female;white;-;Blond;178;Marvel Comics;-;good;49;30/11/1999;Durability,Super Strength,Telepathy
Sobek;Male;white;-;No Hair;Indefinite;DC Comics;-;good;Indefinite;03/02/2005;Stealth,Intelligence
Solomon Grundy;Male;black;Zombie;White;279;DC Comics;-;bad;437;06/01/2001;Durability,Stealth,Energy Absorption,Flight,Marksmanship,Intelligence,Super Strength,Telepathy,Energy Blasts,Density Control,Stamina,Super Speed
Songbird;Female;green;-;Red / White;165;Marvel Comics;-;good;65;25/06/1998;Agility,Accelerated Healing,Stealth,Flight,Danger Sense,Animal Attributes,Super Strength,Stamina,Super Speed,Animal Oriented Powers
Space Ghost;Male;-;Human;-;188;DC Comics;-;good;113;03/08/2009;Agility,Flight,Marksmanship,Super Strength,Super Speed,Animal Oriented Powers
Spawn;Male;brown;Demon;Black;211;Image Comics;-;good;405;05/12/2010;Durability,Super Strength
Spectre;Male;white;God / Eternal;No Hair;Indefinite;DC Comics;white;good;Indefinite;27/03/2000;Durability,Energy Absorption,Flight,Underwater breathing,Marksmanship,Super Strength,Energy Blasts,Super Speed,Weapon-based Powers
Speedball;Male;-;-;-;Indefinite;Marvel Comics;-;good;Indefinite;02/02/2002;Agility,Durability,Flight,Super Strength,Energy Blasts,Stamina,Super Speed
Speedy;Male;-;Human;-;Indefinite;DC Comics;-;good;Indefinite;09/09/2007;Flight
Speedy;Female;green;Human;Brown;Indefinite;DC Comics;-;good;Indefinite;12/01/1999;Agility,Cold Resistance,Durability,Super Strength,Stamina,Super Speed
Spider-Carnage;Male;-;Symbiote;-;Indefinite;Marvel Comics;-;bad;Indefinite;19/12/2009;Agility,Stealth,Flight,Intelligence,Super Strength,Energy Blasts,Size Changing,Animal Oriented Powers,Weapon-based Powers
Spider-Girl;Female;blue;Human;Brown;170;Marvel Comics;-;good;54;28/06/1999;Dimensional Awareness,Flight,Intelligence,Telepathy,Size Changing
Spider-Gwen;Female;blue;Human;Blond;165;Marvel Comics;-;good;56;09/01/2001;Agility,Accelerated Healing,Super Strength,Energy Blasts,Super Speed,Weapon-based Powers
Spider-Man;Male;hazel;Human;Brown;178;Marvel Comics;-;good;74;20/02/2003;Agility,Stealth,Weapons Master,Stamina
Spider-Man;-;red;Human;Brown;178;Marvel Comics;-;good;77;12/03/2001;Energy Absorption,Flight,Super Strength,Energy Blasts,Size Changing
Spider-Man;Male;brown;Human;Black;157;Marvel Comics;-;good;56;10/07/2006;Marksmanship,Longevity,Super Strength,Energy Blasts
Spider-Woman;Female;green;Human;Black;178;Marvel Comics;-;good;59;21/07/1995;Animal Attributes,Super Strength,Super Speed
Spider-Woman II;Female;-;-;-;Indefinite;Marvel Comics;-;good;Indefinite;14/07/1997;Agility,Accelerated Healing,Cold Resistance,Durability,Stealth,Longevity,Super Strength,Stamina,Animal Oriented Powers
Spider-Woman III;Female;brown;-;Brown;173;Marvel Comics;-;good;55;05/01/2010;Agility,Durability,Flight,Longevity,Intelligence,Super Strength,Super Speed,Electrokinesis
Spider-Woman IV;Female;red;-;White;178;Marvel Comics;-;bad;58;06/12/1996;Durability,Flight,Longevity,Super Strength,Energy Blasts,Size Changing,Stamina,Super Speed
Spock;Male;brown;Human-Vulcan;Black;185;Star Trek;-;good;81;18/02/2011;Accelerated Healing,Durability,Flight,Marksmanship,Weapons Master,Longevity,Intelligence,Super Strength,Telepathy,Stamina,Super Speed,Animal Oriented Powers,Weapon-based Powers
Spyke;Male;brown;Mutant;Blond;183;Marvel Comics;-;good;83;16/03/2006;Agility,Accelerated Healing,Durability,Stealth,Marksmanship,Longevity,Super Strength,Stamina
Stacy X;Female;-;-;-;Indefinite;Marvel Comics;-;good;Indefinite;09/06/2008;Flight,Telepathy,Astral Travel
Star-Lord;Male;blue;Human-Spartoi;Blond;188;Marvel Comics;-;good;79;16/02/2014;Size Changing,Animal Oriented Powers
Stardust;Male;-;-;-;Indefinite;Marvel Comics;-;good;Indefinite;22/06/2000;Flight,Energy Blasts,Size Changing
Starfire;Female;green;Tamaranean;Auburn;193;DC Comics;orange;good;71;07/05/2007;Cold Resistance,Durability,Longevity,Super Strength,Cryokinesis
Stargirl;Female;blue;Human;Blond;165;DC Comics;-;good;62;14/09/1999;Agility,Stealth,Danger Sense,Marksmanship,Weapons Master,Longevity,Intelligence,Telepathy,Energy Blasts,Stamina,Super Speed
Static;Male;brown;Mutant;Black;170;DC Comics;-;good;63;01/10/1998;Cryokinesis,Telepathy
Steel;Male;brown;-;No Hair;201;DC Comics;-;good;131;05/09/2008;Super Speed
Stephanie Powell;Female;-;-;Blond;Indefinite;ABC Studios;-;good;Indefinite;02/10/1998;Cold Resistance,Durability,Energy Absorption,Super Strength,Stamina
Steppenwolf;Male;red;New God;Black;183;DC Comics;white;bad;91;24/07/1996;Agility,Durability,Flight,Super Strength,Stamina,Audio Control,Super Speed
Storm;Female;blue;Mutant;White;180;Marvel Comics;-;good;57;12/10/2010;Agility,Flight,Weapons Master,Intelligence,Super Strength,Energy Blasts,Stamina
Stormtrooper;Male;-;Human;-;183;George Lucas;-;bad;Indefinite;09/12/1998;Agility,Durability,Stealth,Flight,Weapons Master,Super Strength,Telepathy,Stamina,Super Speed
Sunspot;Male;brown;Mutant;black;173;Marvel Comics;-;good;77;15/03/2003;Agility,Accelerated Healing,Dimensional Awareness,Stealth,Energy Absorption,Flight,Marksmanship,Longevity,Intelligence,Super Strength,Telepathy,Energy Blasts,Duplication,Size Changing,Density Control,Stamina,Super Speed,Possession,Electrokinesis,Darkforce Manipulation
Superboy;Male;blue;-;Black;170;DC Comics;-;good;68;03/01/1995;Energy Absorption,Energy Armor
Superboy-Prime;Male;blue;Kryptonian;Black / Blue;180;DC Comics;-;bad;77;18/11/2006;Stealth,Marksmanship,Weapons Master,Stamina
Supergirl;Female;blue;Kryptonian;Blond;165;DC Comics;-;good;54;26/08/2005;Agility,Accelerated Healing,Stealth,Danger Sense,Intelligence,Super Strength,Stamina,Dexterity,Super Speed
Superman;Male;blue;Kryptonian;Black;191;DC Comics;-;good;101;17/10/2002;Agility,Accelerated Healing,Durability,Stealth,Danger Sense,Marksmanship,Animal Attributes,Super Strength,Stamina,Super Speed,Animal Oriented Powers
Swamp Thing;Male;red;God / Eternal;No Hair;Indefinite;DC Comics;green;bad;Indefinite;18/08/1996;Agility,Accelerated Healing,Durability,Stealth,Danger Sense,Marksmanship,Animal Attributes,Super Strength,Stamina,Super Speed,Animal Oriented Powers
Swarm;Male;yellow;Mutant;No Hair;196;Marvel Comics;yellow;bad;47;14/07/2005;Agility,Durability,Flight,Super Strength,Energy Blasts,Stamina,Super Speed
Sylar;Male;-;-;-;Indefinite;NBC - Heroes;-;bad;Indefinite;25/02/2013;Agility,Flight,Super Strength,Telepathy,Energy Blasts,Stamina,Super Speed
Synch;Male;brown;-;Black;180;Marvel Comics;-;good;74;30/01/1999;Agility,Flight,Super Strength,Telepathy,Energy Blasts,Super Speed
T-1000;Male;-;Android;-;183;Dark Horse Comics;silver;bad;146;28/09/2004;Stealth,Longevity,Intelligence,Super Strength,Telepathy,Stamina
T-800;Male;red;Cyborg;-;Indefinite;Dark Horse Comics;-;bad;176;26/08/2013;Accelerated Healing,Stamina
T-850;Male;red;Cyborg;-;Indefinite;Dark Horse Comics;-;bad;198;11/10/2009;Agility,Durability,Marksmanship,Weapons Master,Longevity,Intelligence,Stamina
T-X;Female;-;Cyborg;-;Indefinite;Dark Horse Comics;silver;bad;149;12/12/2010;Durability,Energy Absorption,Flight,Longevity,Super Strength,Energy Blasts,Stamina,Super Speed
Taskmaster;Male;brown;Human;Brown;188;Marvel Comics;-;bad;99;19/09/2003;Durability,Energy Absorption,Flight,Super Strength,Energy Blasts
Tempest;Female;brown;-;Black;163;Marvel Comics;-;good;54;23/02/2007;Agility,Durability,Energy Absorption,Super Strength,Energy Blasts,Stamina,Super Speed
Thanos;Male;red;Eternal;No Hair;201;Marvel Comics;purple;bad;443;28/10/2004;Agility,Accelerated Healing,Durability,Energy Absorption,Flight,Marksmanship,Intelligence,Energy Blasts,Electrokinesis
The Cape;Male;-;-;-;Indefinite;;-;good;Indefinite;08/04/2003;Durability,Flight,Super Strength,Weapon-based Powers
The Comedian;Male;brown;Human;Black;188;DC Comics;-;neutral;101;24/12/2011;Accelerated Healing,Super Speed
Thing;Male;blue;Human / Radiation;No Hair;183;Marvel Comics;-;good;225;19/05/2009;Agility,Accelerated Healing,Stealth,Weapons Master,Longevity,Intelligence,Super Strength,Stamina,Super Speed
Thor;Male;blue;Asgardian;Blond;198;Marvel Comics;-;good;288;07/09/2009;Cold Resistance,Flight,Intelligence
Thor Girl;Female;blue;Asgardian;Blond;175;Marvel Comics;-;good;143;30/09/2006;Durability,Weapon-based Powers
Thunderbird;Male;brown;-;Black;185;Marvel Comics;-;good;101;02/04/2008;Durability,Size Changing
Thunderbird II;Male;-;-;-;Indefinite;Marvel Comics;-;good;Indefinite;11/10/2010;Accelerated Healing,Flight,Super Strength,Energy Blasts,Stamina
Thunderbird III;Male;brown;-;Black;175;Marvel Comics;-;good;74;07/01/2011;Accelerated Healing,Durability,Energy Absorption,Flight,Super Strength,Energy Blasts,Super Speed
Thunderstrike;Male;blue;-;Blond;198;Marvel Comics;-;good;288;21/07/1995;Accelerated Healing,Durability,Energy Absorption,Flight,Longevity,Intelligence,Super Strength,Stamina,Super Speed
Thundra;Female;green;-;Red;218;Marvel Comics;-;good;158;15/09/2004;Agility,Accelerated Healing,Cold Resistance,Durability,Energy Absorption,Flight,Intelligence,Super Strength,Stamina,Super Speed
Tiger Shark;Male;grey;Human;No Hair;185;Marvel Comics;grey;bad;203;19/04/2005;Agility,Accelerated Healing,Cold Resistance,Durability,Energy Absorption,Flight,Marksmanship,Longevity,Intelligence,Super Strength,Stamina,Super Speed
Tigra;Female;green;-;Auburn;178;Marvel Comics;-;good;81;11/08/2004;Stealth,Flight,Longevity,Intelligence,Super Strength,Duplication,Size Changing
Tinkerer;Male;brown;-;White;163;Marvel Comics;-;bad;54;16/11/2003;Durability,Flight,Longevity,Intelligence,Super Strength,Size Changing,Animal Oriented Powers
Titan;Male;-;-;-;Indefinite;HarperCollins;-;good;Indefinite;30/04/2011;Cryokinesis
Toad;Male;black;Mutant;Brown;175;Marvel Comics;green;neutral;76;02/07/2010;Agility,Accelerated Healing,Cold Resistance,Durability,Stealth,Marksmanship,Weapons Master,Longevity,Intelligence,Super Strength,Size Changing,Stamina,Super Speed
Toxin;Male;blue;Symbiote;Brown;188;Marvel Comics;-;good;97;28/03/1998;Cold Resistance,Durability,Stealth,Weapons Master,Longevity,Super Strength,Stamina
Toxin;Male;black;Symbiote;Blond;191;Marvel Comics;-;good;117;24/11/2004;Accelerated Healing,Cold Resistance,Durability,Stealth,Weapons Master,Longevity,Super Strength,Stamina
Tracy Strauss;Female;-;-;-;Indefinite;NBC - Heroes;-;good;Indefinite;17/12/2013;Agility,Accelerated Healing,Cold Resistance,Durability,Stealth,Marksmanship,Weapons Master,Longevity,Intelligence,Super Strength,Energy Blasts,Stamina,Super Speed
Trickster;Male;blue;Human;Blond;183;DC Comics;-;-;81;20/04/2008;Agility,Stealth,Marksmanship,Weapons Master,Stamina,Super Speed,Weapon-based Powers
Trigon;Male;yellow;God / Eternal;Black;Indefinite;DC Comics;red;bad;Indefinite;10/07/2002;Flight,Cryokinesis
Triplicate Girl;Female;purple;-;Brown;168;DC Comics;-;good;59;17/11/1997;Agility,Accelerated Healing,Cold Resistance,Durability,Flight,Longevity,Intelligence,Super Strength,Telepathy,Energy Blasts,Stamina,Super Speed
Triton;Male;green;Inhuman;No Hair;188;Marvel Comics;green;good;86;20/12/2013;Weapon-based Powers
Two-Face;Male;-;-;-;183;DC Comics;-;bad;82;21/02/1996;Weapons Master
Ultragirl;Female;blue;-;Blond;168;Marvel Comics;-;good;105;24/10/2006;Cold Resistance,Durability,Longevity,Super Strength,Stamina
Ultron;Male;red;Android;-;206;Marvel Comics;silver;bad;331;27/02/2011;Agility,Accelerated Healing,Durability,Flight,Longevity,Super Strength,Stamina,Super Speed,Weapon-based Powers
Utgard-Loki;Male;blue;Frost Giant;White;152;Marvel Comics;-;bad;58;26/04/2010;Durability,Super Strength,Stamina,Super Speed
Vagabond;Female;blue;-;Strawberry Blond;168;Marvel Comics;-;good;54;04/02/2001;Durability,Super Strength,Stamina,Super Speed
Valerie Hart;Female;hazel;-;Black;175;Team Epic TV;-;good;56;09/07/2013;Energy Absorption,Flight,Energy Blasts
Valkyrie;Female;blue;-;Blond;191;Marvel Comics;-;good;214;05/01/2007;Accelerated Healing,Durability,Longevity,Super Strength,Stamina,Super Speed
Vanisher;Male;green;-;No Hair;165;Marvel Comics;-;bad;79;31/01/2006;Agility,Super Strength,Stamina,Super Speed
Vegeta;Male;-;Saiyan;Black;168;Shueisha;-;bad;73;22/09/1999;Agility,Accelerated Healing,Cold Resistance,Durability,Underwater breathing,Animal Attributes,Super Strength,Stamina,Super Speed,Animal Oriented Powers
Venom;Male;blue;Symbiote;Strawberry Blond;191;Marvel Comics;-;bad;117;01/03/2006;Agility,Super Strength,Stamina,Super Speed
Venom II;Male;brown;-;Black;175;Marvel Comics;-;bad;50;10/10/2002;Intelligence
Venom III;Male;brown;Symbiote;Brown;229;Marvel Comics;-;bad;334;16/01/2004;Flight,Super Strength,Super Speed
Venompool;Male;-;Symbiote;-;226;Marvel Comics;-;-;Indefinite;20/01/2014;Agility,Accelerated Healing,Durability,Animal Attributes,Super Strength,Stamina,Animal Oriented Powers
Vertigo II;Female;blue;-;Silver;168;Marvel Comics;-;good;52;22/02/2001;Agility,Accelerated Healing,Durability,Stealth,Danger Sense,Super Strength,Size Changing,Stamina,Super Speed,Weapon-based Powers
Vibe;Male;brown;Human;Black;178;DC Comics;-;good;71;23/05/2011;Cold Resistance,Cryokinesis
Vindicator;Female;green;Human;Red;165;Marvel Comics;-;good;54;21/05/2001;Flight
Vindicator;Male;-;-;-;Indefinite;Marvel Comics;-;good;Indefinite;21/08/2012;Accelerated Healing,Durability,Flight,Super Strength,Stamina
Violator;Male;-;-;-;Indefinite;Image Comics;-;bad;Indefinite;04/10/2009;Flight,Duplication
Violet Parr;Female;violet;Human;Black;137;Dark Horse Comics;-;good;41;17/02/2013;Agility,Cold Resistance,Durability,Underwater breathing,Super Strength,Stamina,Super Speed
Vision;Male;gold;Android;No Hair;191;Marvel Comics;red;good;135;13/03/2008;Durability,Energy Absorption,Flight,Longevity,Intelligence,Super Strength,Energy Blasts,Stamina
Vision II;-;red;-;No Hair;191;Marvel Comics;-;good;135;21/10/2010;Durability,Flight,Super Strength,Stamina,Super Speed
Vixen;Female;amber;Human;Black;175;DC Comics;-;good;63;20/09/1998;Agility,Durability,Stealth,Energy Absorption,Flight,Super Strength,Energy Armor,Energy Blasts,Stamina,Super Speed
Vulcan;Male;black;-;Black;Indefinite;Marvel Comics;-;good;Indefinite;27/02/1999;Durability,Longevity,Super Strength,Stamina
Vulture;Male;brown;Human;No Hair;180;Marvel Comics;-;bad;79;25/07/1997;Agility,Super Strength,Weapon-based Powers
Walrus;Male;blue;Human;Black;183;Marvel Comics;-;bad;162;28/05/2001;Durability,Super Strength,Stamina
War Machine;Male;brown;Human;Brown;185;Marvel Comics;-;good;95;04/05/2010;Agility,Accelerated Healing,Flight,Marksmanship,Longevity,Intelligence,Super Strength,Energy Blasts,Stamina,Super Speed
Warbird;Female;blue;-;Blond;180;Marvel Comics;-;good;54;14/06/2008;Accelerated Healing,Durability,Danger Sense,Super Strength,Stamina,Super Speed,Weapon-based Powers
Warlock;Male;red;-;Blond;188;Marvel Comics;-;good;108;22/02/2005;Agility,Durability,Super Strength,Super Speed,Animal Oriented Powers
Warp;Male;brown;-;Black;173;DC Comics;-;bad;67;25/09/2011;Agility,Accelerated Healing,Durability,Danger Sense,Super Strength,Stamina,Super Speed,Animal Oriented Powers
Warpath;Male;brown;Mutant;Black;218;Marvel Comics;-;good;158;09/08/2007;Agility,Accelerated Healing,Dimensional Awareness,Durability,Stealth,Danger Sense,Marksmanship,Weapons Master,Longevity,Super Strength,Stamina,Super Speed,Weapon-based Powers
Wasp;Female;blue;Human;Auburn;163;Marvel Comics;-;good;50;19/11/2013;Intelligence
Watcher;Male;-;-;-;Indefinite;Marvel Comics;-;good;Indefinite;01/08/2013;Agility,Accelerated Healing,Durability,Stealth,Flight,Marksmanship,Weapons Master,Intelligence,Super Strength,Energy Blasts,Stamina
Weapon XI;Male;-;-;-;Indefinite;Marvel Comics;-;bad;Indefinite;02/11/2000;Durability,Flight,Intelligence,Super Strength,Stamina,Super Speed
White Canary;Female;brown;Human;Black;Indefinite;DC Comics;-;bad;Indefinite;08/03/1996;Super Strength,Super Speed
White Queen;Female;blue;-;Blond;178;Marvel Comics;-;good;65;29/03/1995;Agility,Stealth,Intelligence,Stamina
Wildfire;Male;-;-;-;Indefinite;DC Comics;-;good;Indefinite;29/09/2007;Flight,Super Strength
Winter Soldier;Male;brown;Human;Brown;175;Marvel Comics;-;good;117;05/10/2008;Energy Blasts
Wiz Kid;-;brown;-;Black;140;Marvel Comics;-;good;39;24/12/2011;Intelligence
Wolfsbane;Female;green;-;Auburn;366;Marvel Comics;-;good;473;12/01/1999;Marksmanship
Wolverine;Male;blue;Mutant;Black;160;Marvel Comics;-;good;135;13/10/1996;Agility,Energy Absorption,Telepathy
Wonder Girl;Female;blue;Demi-God;Blond;165;DC Comics;-;good;51;12/05/2008;Durability,Stealth,Super Strength
Wonder Man;Male;red;-;Black;188;Marvel Comics;-;good;171;14/10/2001;Agility,Accelerated Healing,Durability,Stealth,Super Strength,Size Changing,Density Control
Wonder Woman;Female;blue;Amazon;Black;183;DC Comics;-;good;74;19/04/1999;Energy Blasts
Wondra;Female;-;-;-;Indefinite;Marvel Comics;-;good;Indefinite;14/11/2009;Agility,Accelerated Healing,Marksmanship,Super Strength
Wyatt Wingfoot;Male;brown;-;Black;196;Marvel Comics;-;good;117;05/11/1996;Energy Absorption,Flight,Intelligence
X-23;Female;green;Mutant / Clone;Black;155;Marvel Comics;-;good;50;17/11/2003;Agility,Accelerated Healing,Durability,Energy Absorption,Flight,Intelligence,Super Strength,Stamina,Super Speed
X-Man;Male;blue;-;Brown;175;Marvel Comics;-;good;61;24/03/2010;Accelerated Healing,Cold Resistance,Durability,Stealth,Marksmanship,Weapons Master,Longevity,Intelligence,Super Strength,Stamina
Yellow Claw;Male;blue;-;No Hair;188;Marvel Comics;-;bad;95;30/05/2009;Intelligence,Telepathy,Possession
Yellowjacket;Male;blue;Human;Blond;183;Marvel Comics;-;good;83;11/08/2011;Stamina,Super Speed
Yellowjacket II;Female;blue;Human;Strawberry Blond;165;Marvel Comics;-;good;52;15/10/1995;Agility,Durability,Super Strength
Ymir;Male;white;Frost Giant;No Hair;304;Marvel Comics;white;good;Indefinite;06/11/1999;Agility,Stealth,Super Strength,Telepathy,Super Speed
Yoda;Male;brown;Yoda's species;White;66;George Lucas;green;good;17;06/02/2013;Agility,Durability,Stealth,Marksmanship,Weapons Master,Stamina,Weapon-based Powers
Zatanna;Female;blue;Human;Black;170;DC Comics;-;good;57;13/10/2007;Accelerated Healing,Telepathy
Zoom;Male;red;-;Brown;185;DC Comics;-;bad;81;10/10/2004;Dimensional Awareness,Stealth,Intelligence
